"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.073769,0.20871,0.091619,0,1,0.83,0.5,0.83,0.05
-0.072637,0.22316,0.088175,0,1,0.84,0.5,0.84,0.05
-0.071504,0.23761,0.084731,0,1,0.85,0.5,0.85,0.05
-0.070289,0.26201,0.079346,0,1,0.86,0.5,0.86,0.05
-0.069074,0.28641,0.07396,0,1,0.87,0.5,0.87,0.05
-0.067859,0.31081,0.068574,0,1,0.88,0.5,0.88,0.05
-0.066645,0.33521,0.063188,0,1,0.89,0.5,0.89,0.05
-0.06543,0.35961,0.057802,0,1,0.9,0.5,0.9,0.05
-0.064256,0.40802,0.05101,0,1,0.91,0.5,0.91,0.05
-0.063082,0.45643,0.044217,0,1,0.92,0.5,0.92,0.05
-0.061908,0.50484,0.037424,0,1,0.93,0.5,0.93,0.05
-0.060734,0.55325,0.030631,0,1,0.94,0.5,0.94,0.05
-0.059559,0.60166,0.023839,0,1,0.95,0.5,0.95,0.05
-0.059003,0.68133,0.019071,0,1,0.96,0.5,0.96,0.05
-0.058447,0.761,0.014303,0,1,0.97,0.5,0.97,0.05
-0.057891,0.84067,0.0095355,0,1,0.98,0.5,0.98,0.05
-0.057335,0.92033,0.0047678,0,1,0.99,0.5,0.99,0.05
-0.056779,1,0,0,1,1,0.5,1,0.05
