"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.024554,-0.17111,-0.30706,0,1,0.84,0.84,0.5,0.05
-0.022548,-0.16096,-0.30706,0,1,0.85,0.85,0.5,0.05
-0.021651,-0.14724,-0.29439,0,1,0.86,0.86,0.5,0.05
-0.020755,-0.13353,-0.28171,0,1,0.87,0.87,0.5,0.05
-0.019859,-0.11981,-0.26903,0,1,0.88,0.88,0.5,0.05
-0.018962,-0.1061,-0.25636,0,1,0.89,0.89,0.5,0.05
-0.018066,-0.092381,-0.24368,0,1,0.9,0.9,0.5,0.05
-0.018402,-0.079902,-0.22019,0,1,0.91,0.91,0.5,0.05
-0.018738,-0.067423,-0.19669,0,1,0.92,0.92,0.5,0.05
-0.019073,-0.054944,-0.1732,0,1,0.93,0.93,0.5,0.05
-0.019409,-0.042465,-0.14971,0,1,0.94,0.94,0.5,0.05
-0.019745,-0.029986,-0.12622,0,1,0.95,0.95,0.5,0.05
-0.020155,-0.023989,-0.10097,0,1,0.96,0.96,0.5,0.05
-0.020565,-0.017992,-0.075729,0,1,0.97,0.97,0.5,0.05
-0.020975,-0.011994,-0.050486,0,1,0.98,0.98,0.5,0.05
-0.021386,-0.0059972,-0.025243,0,1,0.99,0.99,0.5,0.05
-0.021796,0,0,0,1,1,1,0.5,0.05
